;CODICE;DESCRIZIONE;;;;;
687;46.19.03;Mediatori in vari prodotti senza prevalenza di alcuno;;;;;
688;46.19.04;"Gruppi di acquisto; mandatari agli acquisti; buyer";;;;;
689;46.21.10;Commercio all'ingrosso di cereali e legumi secchi;;;;;
690;46.21.21;Commercio all'ingrosso di tabacco grezzo;;;;;
691;46.21.22;Commercio all'ingrosso di sementi e alimenti per il bestiame (mangimi), piante officinali, semi oleosi, patate da semina;;;;;
692;46.22.00;Commercio all'ingrosso di fiori e piante;;;;;
693;46.23.00;Commercio all'ingrosso di animali vivi;;;;;
694;46.24.10;Commercio all'ingrosso di cuoio e pelli gregge e lavorate (escluse le pelli per pellicceria);;;;;
695;46.24.20;Commercio all'ingrosso di pelli gregge e lavorate per pellicceria;;;;;
696;46.31.10;Commercio all'ingrosso di frutta e ortaggi freschi;;;;;
697;46.31.20;Commercio all'ingrosso di frutta e ortaggi conservati;;;;;
698;46.32.10;Commercio all'ingrosso di carne fresca, congelata e surgelata;;;;;
699;46.32.20;Commercio all'ingrosso di prodotti di salumeria;;;;;
700;46.33.10;Commercio all'ingrosso di prodotti lattiero-caseari e di uova;;;;;
701;46.33.20;Commercio all'ingrosso di oli e grassi alimentari di origine vegetale o animale;;;;;
702;46.34.10;Commercio all'ingrosso di bevande alcoliche;;;;;
703;46.34.20;Commercio all'ingrosso di bevande non alcoliche;;;;;
704;46.35.00;Commercio all'ingrosso di prodotti del tabacco;;;;;
705;46.36.00;Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno;;;;;
706;46.37.01;Commercio all'ingrosso di caffè;;;;;
707;46.37.02;Commercio all'ingrosso di tè, cacao e spezie;;;;;
708;46.38.10;Commercio all'ingrosso di prodotti della pesca freschi;;;;;
709;46.38.20;Commercio all'ingrosso di prodotti della pesca congelati, surgelati, conservati, secchi;;;;;
710;46.38.30;Commercio all'ingrosso di pasti e piatti pronti;;;;;
711;46.38.90;Commercio all'ingrosso di altri prodotti alimentari;;;;;
712;46.39.10;Commercio all'ingrosso non specializzato di prodotti surgelati;;;;;
713;46.39.20;Commercio all'ingrosso non specializzato di altri prodotti alimentari, bevande e tabacco;;;;;
714;46.41.10;Commercio all'ingrosso di tessuti;;;;;
715;46.41.20;Commercio all'ingrosso di articoli di merceria, filati e passamaneria;;;;;
716;46.41.90;Commercio all'ingrosso di altri articoli tessili;;;;;
717;46.42.10;Commercio all'ingrosso di abbigliamento e accessori;;;;;
718;46.42.20;Commercio all'ingrosso di articoli in pelliccia;;;;;
719;46.42.30;Commercio all'ingrosso di camicie, biancheria intima, maglieria e simili;;;;;
720;46.42.40;Commercio all'ingrosso di calzature e accessori;;;;;
721;46.43.10;Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video;;;;;
722;46.43.20;Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti);;;;;
723;46.43.30;Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica;;;;;
724;46.44.10;Commercio all'ingrosso di vetreria e cristalleria;;;;;
725;46.44.20;Commercio all'ingrosso di ceramiche e porcellana;;;;;
726;46.44.30;Commercio all'ingrosso di saponi, detersivi e altri prodotti per la pulizia;;;;;
727;46.44.40;Commercio all'ingrosso di coltelleria, posateria e pentolame;;;;;
728;46.45.00;Commercio all'ingrosso di profumi e cosmetici;;;;;
729;46.46.10;Commercio all'ingrosso di medicinali;;;;;
730;46.46.20;Commercio all'ingrosso di prodotti botanici per uso farmaceutico;;;;;
731;46.46.30;Commercio all'ingrosso di articoli medicali ed ortopedici;;;;;
732;46.47.10;Commercio all'ingrosso di mobili di qualsiasi materiale;;;;;
733;46.47.20;Commercio all'ingrosso di tappeti;;;;;
734;46.47.30;"Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico";;;;;
735;46.48.00;Commercio all'ingrosso di orologi e di gioielleria;;;;;
736;46.49.10;Commercio all'ingrosso di carta, cartone e articoli di cartoleria;;;;;
737;46.49.20;Commercio all'ingrosso di libri, riviste e giornali;;;;;
738;46.49.30;Commercio all'ingrosso di giochi e giocattoli;;;;;
739;46.49.40;Commercio all'ingrosso di articoli sportivi (incluse le biciclette);;;;;
740;46.49.50;"Commercio all'ingrosso di articoli in pelle; articoli da viaggio in qualsiasi materiale";;;;;
741;46.49.90;Commercio all'ingrosso di vari prodotti di consumo non alimentare nca;;;;;
742;46.51.00;Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software;;;;;
743;46.52.01;Commercio all'ingrosso di apparecchi e materiali telefonici;;;;;
744;46.52.02;Commercio all'ingrosso di nastri non registrati;;;;;
745;46.52.09;Commercio all'ingrosso di altre apparecchiature elettroniche per telecomunicazioni e di altri componenti elettronici;;;;;
746;46.61.00;Commercio all'ingrosso di macchine, accessori e utensili agricoli, inclusi i trattori;;;;;
747;46.62.00;Commercio all'ingrosso di macchine utensili (incluse le relative parti intercambiabili);;;;;
748;46.63.00;Commercio all'ingrosso di macchine per le miniere, l'edilizia e l'ingegneria civile;;;;;
749;46.64.00;Commercio all'ingrosso di macchine per l'industria tessile, di macchine per cucire e per maglieria;;;;;
750;46.65.00;Commercio all'ingrosso di mobili per ufficio e negozi;;;;;
751;46.66.00;Commercio all'ingrosso di altre macchine e attrezzature per ufficio;;;;;
752;46.69.11;Commercio all'ingrosso di imbarcazioni da diporto;;;;;
753;46.69.19;Commercio all'ingrosso di altri mezzi ed attrezzature di trasporto;;;;;
754;46.69.20;Commercio all'ingrosso di materiale elettrico per impianti di uso industriale;;;;;
755;46.69.30;Commercio all'ingrosso di apparecchiature per parrucchieri, palestre, solarium e centri estetici;;;;;
756;46.69.91;Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso scientifico;;;;;
757;46.69.92;Commercio all'ingrosso di strumenti e attrezzature di misurazione per uso non scientifico;;;;;
758;46.69.93;Commercio all'ingrosso di giochi per luna-park e videogiochi per pubblici esercizi;;;;;
759;46.69.94;Commercio all'ingrosso di articoli antincendio e antinfortunistici;;;;;
760;46.69.99;Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca;;;;;
761;46.71.00;Commercio all'ingrosso di prodotti petroliferi e lubrificanti per autotrazione, di combustibili per riscaldamento;;;;;
762;46.72.10;Commercio all'ingrosso di minerali metalliferi, di metalli ferrosi e prodotti semilavorati;;;;;
763;46.72.20;Commercio all'ingrosso di metalli non ferrosi e prodotti semilavorati;;;;;
764;46.73.10;Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale;;;;;
765;46.73.21;Commercio all'ingrosso di moquette e linoleum;;;;;
766;46.73.22;Commercio all'ingrosso di altri materiali per rivestimenti (inclusi gli apparecchi igienico-sanitari);;;;;
767;46.73.23;Commercio all'ingrosso di infissi;;;;;
768;46.73.29;Commercio all'ingrosso di altri materiali da costruzione;;;;;
769;46.73.30;Commercio all'ingrosso di vetro piano;;;;;
770;46.73.40;Commercio all'ingrosso di carta da parati, colori e vernici;;;;;
771;46.74.10;Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta);;;;;
772;46.74.20;Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento;;;;;
773;46.75.01;Commercio all'ingrosso di fertilizzanti e di altri prodotti chimici per l'agricoltura;;;;;
774;46.75.02;Commercio all'ingrosso di prodotti chimici per l'industria;;;;;
775;46.76.10;Commercio all'ingrosso di fibre tessili gregge e semilavorate;;;;;
776;46.76.20;Commercio all'ingrosso di gomma greggia, materie plastiche in forme primarie e semilavorati;;;;;
777;46.76.30;Commercio all'ingrosso di imballaggi;;;;;
778;46.76.90;Commercio all'ingrosso di altri prodotti intermedi nca;;;;;
779;46.77.10;Commercio all'ingrosso di rottami e sottoprodotti della lavorazione industriale metallici;;;;;
780;46.77.20;"Commercio all'ingrosso di altri materiali di recupero non metallici (vetro, carta, cartoni eccetera); sottoprodotti non metallici della lavorazione industriale (cascami)";;;;;
781;46.90.00;Commercio all'ingrosso non specializzato;;;;;
782;47;COMMERCIO AL DETTAGLIO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI);;;;;
783;47.11.10;Ipermercati;;;;;
784;47.11.20;Supermercati;;;;;
785;47.11.30;Discount di alimentari;;;;;
786;47.11.40;Minimercati ed altri esercizi non specializzati di alimentari vari;;;;;
787;47.11.50;Commercio al dettaglio di prodotti surgelati;;;;;
788;47.19.10;Grandi magazzini;;;;;
789;47.19.20;Commercio al dettaglio in esercizi non specializzati di computer, periferiche, attrezzature per le telecomunicazioni, elettronica di consumo audio e video, elettrodomestici;;;;;
790;47.19.90;Empori ed altri negozi non specializzati di vari prodotti non alimentari;;;;;
791;47.21.01;Commercio al dettaglio di frutta e verdura fresca;;;;;
792;47.21.02;Commercio al dettaglio di frutta e verdura preparata e conservata;;;;;
793;47.22.00;Commercio al dettaglio di carni e di prodotti a base di carne;;;;;
794;47.23.00;Commercio al dettaglio di pesci, crostacei e molluschi;;;;;
795;47.24.10;Commercio al dettaglio di pane;;;;;
796;47.24.20;Commercio al dettaglio di torte, dolciumi, confetteria;;;;;
797;47.25.00;Commercio al dettaglio di bevande;;;;;
798;47.26.00;Commercio al dettaglio di generi di monopolio (tabaccherie);;;;;
799;47.29.10;Commercio al dettaglio di latte e di prodotti lattiero-caseari;;;;;
800;47.29.20;Commercio al dettaglio di caffè torrefatto;;;;;
801;47.29.30;Commercio al dettaglio di prodotti macrobiotici e dietetici;;;;;
802;47.29.90;Commercio al dettaglio di altri prodotti alimentari in esercizi specializzati nca;;;;;
803;47.30.00;Commercio al dettaglio di carburante per autotrazione;;;;;
804;47.41.00;Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati;;;;;
805;47.42.00;Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati;;;;;
806;47.43.00;Commercio al dettaglio di apparecchi audio e video in esercizi specializzati;;;;;
807;47.51.10;Commercio al dettaglio di tessuti per l'abbigliamento, l'arredamento e di biancheria per la casa;;;;;
808;47.51.20;Commercio al dettaglio di filati per maglieria e merceria;;;;;
809;47.52.10;Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico;;;;;
810;47.52.20;Commercio al dettaglio di articoli igienico-sanitari;;;;;
811;47.52.30;Commercio al dettaglio di materiali da costruzione, ceramiche e piastrelle;;;;;
812;47.52.40;"Commercio al dettaglio di macchine, attrezzature e prodotti per l'agricoltura; macchine e attrezzature per il giardinaggio";;;;;
813;47.53.11;Commercio al dettaglio di tende e tendine;;;;;
814;47.53.12;Commercio al dettaglio di tappeti;;;;;
815;47.53.20;Commercio al dettaglio di carta da parati e rivestimenti per pavimenti (moquette e linoleum);;;;;
816;47.54.00;Commercio al dettaglio di elettrodomestici in esercizi specializzati;;;;;
817;47.59.10;Commercio al dettaglio di mobili per la casa;;;;;
818;47.59.20;Commercio al dettaglio di utensili per la casa, di cristallerie e vasellame;;;;;
819;47.59.30;Commercio al dettaglio di articoli per l'illuminazione;;;;;
820;47.59.40;Commercio al dettaglio di macchine per cucire e per maglieria per uso domestico;;;;;
821;47.59.50;Commercio al dettaglio di sistemi di sicurezza;;;;;
822;47.59.60;Commercio al dettaglio di strumenti musicali e spartiti;;;;;
823;47.59.91;Commercio al dettaglio di articoli in legno, sughero, vimini e articoli in plastica per uso domestico;;;;;
824;47.59.99;Commercio al dettaglio di altri articoli per uso domestico nca;;;;;
825;47.61.00;Commercio al dettaglio di libri nuovi in esercizi specializzati;;;;;
826;47.62.10;Commercio al dettaglio di giornali, riviste e periodici;;;;;
827;47.62.20;Commercio al dettaglio di articoli di cartoleria e forniture per ufficio;;;;;
828;47.63.00;Commercio al dettaglio di registrazioni musicali e video in esercizi specializzati;;;;;
829;47.64.10;Commercio al dettaglio di articoli sportivi, biciclette e articoli per il tempo libero;;;;;
830;47.64.20;Commercio al dettaglio di natanti e accessori;;;;;
831;47.65.00;Commercio al dettaglio di giochi e giocattoli (inclusi quelli elettronici);;;;;
832;47.71.10;Commercio al dettaglio di confezioni per adulti;;;;;
833;47.71.20;Commercio al dettaglio di confezioni per bambini e neonati;;;;;
834;47.71.30;Commercio al dettaglio di biancheria personale, maglieria, camicie;;;;;
835;47.71.40;Commercio al dettaglio di pellicce e di abbigliamento in pelle;;;;;
836;47.71.50;Commercio al dettaglio di cappelli, ombrelli, guanti e cravatte;;;;;
837;47.72.10;Commercio al dettaglio di calzature e accessori;;;;;
838;47.72.20;Commercio al dettaglio di articoli di pelletteria e da viaggio;;;;;
839;47.73.10;Farmacie;;;;;
840;47.73.20;Commercio al dettaglio in altri esercizi specializzati di medicinali non soggetti a prescrizione medica;;;;;
841;47.74.00;Commercio al dettaglio di articoli medicali e ortopedici in esercizi specializzati;;;;;
842;47.75.10;Commercio al dettaglio di articoli di profumeria, prodotti per toletta e per l'igiene personale;;;;;
843;47.75.20;Erboristerie;;;;;
844;47.76.10;Commercio al dettaglio di fiori e piante;;;;;
845;47.76.20;Commercio al dettaglio di piccoli animali domestici;;;;;
846;47.77.00;Commercio al dettaglio di orologi, articoli di gioielleria e argenteria;;;;;
847;47.78.10;Commercio al dettaglio di mobili per ufficio;;;;;
848;47.78.20;Commercio al dettaglio di materiale per ottica e fotografia;;;;;
849;47.78.31;Commercio al dettaglio di oggetti d'arte (incluse le gallerie d'arte);;;;;
850;47.78.32;Commercio al dettaglio di oggetti d'artigianato;;;;;
851;47.78.33;Commercio al dettaglio di arredi sacri ed articoli religiosi;;;;;
852;47.78.34;Commercio al dettaglio di articoli da regalo e per fumatori;;;;;
853;47.78.35;Commercio al dettaglio di bomboniere;;;;;
854;47.78.36;Commercio al dettaglio di chincaglieria e bigiotteria (inclusi gli oggetti ricordo e gli articoli di promozione pubblicitaria);;;;;
855;47.78.37;Commercio al dettaglio di articoli per le belle arti;;;;;
856;47.78.40;Commercio al dettaglio di combustibile per uso domestico e per riscaldamento;;;;;
857;47.78.50;Commercio al dettaglio di armi e munizioni, articoli militari;;;;;
858;47.78.60;Commercio al dettaglio di saponi, detersivi, prodotti per la lucidatura e affini;;;;;
859;47.78.91;Commercio al dettaglio di filatelia, numismatica e articoli da collezionismo;;;;;
860;47.78.92;Commercio al dettaglio di spaghi, cordami, tele e sacchi di juta e prodotti per l'imballaggio (esclusi quelli in carta e cartone);;;;;
861;47.78.93;Commercio al dettaglio di articoli funerari e cimiteriali;;;;;
862;47.78.94;Commercio al dettaglio di articoli per adulti (sexy shop);;;;;
863;47.78.99;Commercio al dettaglio di altri prodotti non alimentari nca;;;;;
864;47.79.10;Commercio al dettaglio di libri di seconda mano;;;;;
865;47.79.20;Commercio al dettaglio di mobili usati e oggetti di antiquariato;;;;;
866;47.79.30;Commercio al dettaglio di indumenti e altri oggetti usati;;;;;
867;47.79.40;Case d'asta al dettaglio (escluse aste via internet);;;;;
868;47.81.01;Commercio al dettaglio ambulante di prodotti ortofrutticoli;;;;;
869;47.81.02;Commercio al dettaglio ambulante di prodotti ittici;;;;;
870;47.81.03;Commercio al dettaglio ambulante di carne;;;;;
871;47.81.09;Commercio al dettaglio ambulante di altri prodotti alimentari e bevande nca;;;;;
872;47.82.01;Commercio al dettaglio ambulante di tessuti, articoli tessili per la casa, articoli di abbigliamento;;;;;
873;47.82.02;Commercio al dettaglio ambulante di calzature e pelletterie;;;;;
874;47.89.01;Commercio al dettaglio ambulante di fiori, piante, bulbi, semi e fertilizzanti;;;;;
875;47.89.02;"Commercio al dettaglio ambulante di macchine, attrezzature e prodotti per l'agricoltura; attrezzature per il giardinaggio";;;;;
876;47.89.03;"Commercio al dettaglio ambulante di profumi e cosmetici; saponi, detersivi ed altri detergenti per qualsiasi uso";;;;;
877;47.89.04;Commercio al dettaglio ambulante di chincaglieria e bigiotteria;;;;;
878;47.89.05;"Commercio al dettaglio ambulante di arredamenti per giardino; mobili; tappeti e stuoie; articoli casalinghi; elettrodomestici; materiale elettrico";;;;;
879;47.89.09;Commercio al dettaglio ambulante di altri prodotti nca;;;;;
880;47.91.10;Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet;;;;;
881;47.91.20;Commercio al dettaglio di qualsiasi tipo di prodotto effettuato per televisione;;;;;
882;47.91.30;Commercio al dettaglio di qualsiasi tipo di prodotto per corrispondenza, radio, telefono;;;;;
883;47.99.10;Commercio al dettaglio di prodotti vari, mediante l'intervento di un dimostratore o di un incaricato alla vendita (porta a porta);;;;;
884;47.99.20;Commercio effettuato per mezzo di distributori automatici;;;;;
885;H;TRASPORTO E MAGAZZINAGGIO;;;;;
886;49;TRASPORTO TERRESTRE E TRASPORTO MEDIANTE CONDOTTE;;;;;
887;49.10.00;Trasporto ferroviario di passeggeri (interurbano);;;;;
888;49.20.00;Trasporto ferroviario di merci;;;;;
889;49.31.00;Trasporto terrestre di passeggeri in aree urbane e suburbane;;;;;
890;49.32.10;Trasporto con taxi;;;;;
891;49.32.20;Trasporto mediante noleggio di autovetture da rimessa con conducente;;;;;
892;49.39.01;Gestioni di funicolari, ski-lift e seggiovie se non facenti parte dei sistemi di transito urbano o suburbano;;;;;
893;49.39.09;Altre attività di trasporti terrestri di passeggeri nca;;;;;
894;49.41.00;Trasporto di merci su strada;;;;;
895;49.42.00;Servizi di trasloco;;;;;
896;49.50.10;Trasporto mediante condotte di gas;;;;;
897;49.50.20;Trasporto mediante condotte di liquidi;;;;;
898;50;TRASPORTO MARITTIMO E PER VIE D'ACQUA;;;;;
899;50.10.00;Trasporto marittimo e costiero di passeggeri;;;;;
900;50.20.00;Trasporto marittimo e costiero di merci;;;;;
901;50.30.00;Trasporto di passeggeri per vie d'acqua interne (inclusi i trasporti lagunari);;;;;
902;50.40.00;Trasporto di merci per vie d'acqua interne;;;;;
903;51;TRASPORTO AEREO;;;;;
904;51.10.10;Trasporto aereo di linea di passeggeri;;;;;
905;51.10.20;"Trasporto aereo non di linea di passeggeri; voli charter";;;;;
906;51.21.00;Trasporto aereo di merci;;;;;
907;51.22.00;Trasporto spaziale;;;;;
908;52;MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI;;;;;
909;52.10.10;Magazzini di custodia e deposito per conto terzi;;;;;
910;52.10.20;Magazzini frigoriferi per conto terzi;;;;;
911;52.21.10;Gestione di infrastrutture ferroviarie;;;;;
912;52.21.20;Gestione di strade, ponti, gallerie;;;;;
913;52.21.30;Gestione di stazioni per autobus;;;;;
914;52.21.40;Gestione di centri di movimentazione merci (interporti);;;;;
915;52.21.50;Gestione di parcheggi e autorimesse;;;;;
916;52.21.60;Attività di traino e soccorso stradale;;;;;
917;52.21.90;Altre attività connesse ai trasporti terrestri nca;;;;;
918;52.22.01;Liquefazione e rigassificazione di gas a scopo di trasporto marittimo e per vie d'acqua effettuata al di fuori del sito di estrazione;;;;;
919;52.22.09;Altre attività dei servizi connessi al trasporto marittimo e per vie d'acqua;;;;;
920;52.23.00;Attività dei servizi connessi al trasporto aereo;;;;;
921;52.24.10;Movimento merci relativo a trasporti aerei;;;;;
922;52.24.20;Movimento merci relativo a trasporti marittimi e fluviali;;;;;
923;52.24.30;Movimento merci relativo a trasporti ferroviari;;;;;
924;52.24.40;Movimento merci relativo ad altri trasporti terrestri;;;;;
925;52.29.10;Spedizionieri e agenzie di operazioni doganali;;;;;
926;52.29.21;Intermediari dei trasporti;;;;;
927;52.29.22;Servizi logistici relativi alla distribuzione delle merci;;;;;
928;53;SERVIZI POSTALI E ATTIVITÀ DI CORRIERE;;;;;
929;53.10.00;Attività postali con obbligo di servizio universale;;;;;
930;53.20.00;Altre attività postali e di corriere senza obbligo di servizio universale;;;;;
931;I;ATTIVITÀ DEI SERVIZI DI ALLOGGIO E DI RISTORAZIONE;;;;;
932;55;ALLOGGIO;;;;;
933;55.10.00;Alberghi;;;;;
934;55.20.10;Villaggi turistici;;;;;
935;55.20.20;Ostelli della gioventù;;;;;
936;55.20.30;Rifugi di montagna;;;;;
937;55.20.40;Colonie marine e montane;;;;;
938;55.20.51;Affittacamere per brevi soggiorni, case ed appartamenti per vacanze, bed and breakfast, residence;;;;;
939;55.20.52;Attività di alloggio connesse alle aziende agricole;;;;;
940;55.30.00;Aree di campeggio e aree attrezzate per camper e roulotte;;;;;
941;55.90.10;Gestione di vagoni letto;;;;;
942;55.90.20;Alloggi per studenti e lavoratori con servizi accessori di tipo alberghiero;;;;;
943;56;ATTIVITÀ DEI SERVIZI DI RISTORAZIONE;;;;;
944;56.10.11;Ristorazione con somministrazione;;;;;
945;56.10.12;Attività di ristorazione connesse alle aziende agricole;;;;;
946;56.10.20;Ristorazione senza somministrazione con preparazione di cibi da asporto;;;;;
947;56.10.30;Gelaterie e pasticcerie;;;;;
948;56.10.41;Gelaterie e pasticcerie ambulanti;;;;;
949;56.10.42;Ristorazione ambulante;;;;;
950;56.10.50;Ristorazione su treni e navi;;;;;
951;56.21.00;Catering per eventi, banqueting;;;;;
952;56.29.10;Mense;;;;;
953;56.29.20;Catering continuativo su base contrattuale;;;;;
954;56.30.00;Bar e altri esercizi simili senza cucina;;;;;
955;J;SERVIZI DI INFORMAZIONE E COMUNICAZIONE;;;;;
956;58;ATTIVITÀ EDITORIALI;;;;;
957;58.11.00;Edizione di libri;;;;;
958;58.12.01;Pubblicazione di elenchi;;;;;
959;58.12.02;Pubblicazione di mailing list;;;;;
960;58.13.00;Edizione di quotidiani;;;;;
961;58.14.00;Edizione di riviste e periodici;;;;;
962;58.19.00;Altre attività editoriali;;;;;
963;58.21.00;Edizione di giochi per computer;;;;;
964;58.29.00;Edizione di altri software a pacchetto (esclusi giochi per computer);;;;;
965;59;ATTIVITÀ DI PRODUZIONE CINEMATOGRAFICA, DI VIDEO E DI PROGRAMMI TELEVISIVI, DI REGISTRAZIONI MUSICALI E SONORE;;;;;
966;59.11.00;Attività di produzione cinematografica, di video e di programmi televisivi;;;;;
967;59.12.00;Attività di post-produzione cinematografica, di video e di programmi televisivi;;;;;
968;59.13.00;Attività di distribuzione cinematografica, di video e di programmi televisivi;;;;;
969;59.14.00;Attività di proiezione cinematografica;;;;;
970;59.20.10;Edizione di registrazioni sonore;;;;;
971;59.20.20;Edizione di musica stampata;;;;;
972;59.20.30;Studi di registrazione sonora;;;;;
973;60;ATTIVITÀ DI PROGRAMMAZIONE E TRASMISSIONE;;;;;
974;60.10.00;Trasmissioni radiofoniche;;;;;
975;60.20.00;Programmazione e trasmissioni televisive;;;;;
976;61;TELECOMUNICAZIONI;;;;;
977;61.10.00;Telecomunicazioni fisse;;;;;
978;61.20.00;Telecomunicazioni mobili;;;;;
979;61.30.00;Telecomunicazioni satellitari;;;;;
980;61.90.10;Erogazione di servizi di accesso ad internet (ISP);;;;;
981;61.90.20;Posto telefonico pubblico ed Internet Point;;;;;
982;61.90.91;Intermediazione in servizi di telecomunicazione e trasmissione dati;;;;;
983;61.90.99;Altre attività connesse alle telecomunicazioni nca;;;;;
984;62;PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE;;;;;
985;62.01.00;Produzione di software non connesso all'edizione;;;;;
986;62.02.00;Consulenza nel settore delle tecnologie dell'informatica;;;;;
987;62.03.00;Gestione di strutture e apparecchiature informatiche hardware - housing (esclusa la riparazione);;;;;
988;62.09.01;Configurazione di personal computer;;;;;
989;62.09.09;Altre attività dei servizi connessi alle tecnologie dell'informatica nca;;;;;
990;63;ATTIVITÀ DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMATICI;;;;;
991;63.11.11;Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf);;;;;
992;63.11.19;Altre elaborazioni elettroniche di dati;;;;;
993;63.11.20;Gestione database (attività delle banche dati);;;;;
994;63.11.30;Hosting e fornitura di servizi applicativi (ASP);;;;;
995;63.12.00;Portali web;;;;;
996;63.91.00;Attività delle agenzie di stampa;;;;;
997;63.99.00;Altre attività dei servizi di informazione nca;;;;;
998;K;ATTIVITÀ FINANZIARIE E ASSICURATIVE;;;;;
999;64;ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE);;;;;
1000;64.11.00;Attività della Banca Centrale;;;;;
1001;64.19.10;Intermediazione monetaria di istituti monetari diverse dalle Banche centrali;;;;;
1002;64.19.20;Fondi comuni di investimento monetario;;;;;
1003;64.19.30;Istituti di moneta elettronica (Imel);;;;;
1004;64.19.40;Cassa Depositi e Prestiti;;;;;
1005;64.20.00;Attività delle società di partecipazione (holding);;;;;
1006;64.30.10;Fondi comuni di investimento (aperti e chiusi, immobiliari, di mercato mobiliare);;;;;
1007;64.30.20;Sicav (Società di investimento a capitale variabile);;;;;
1008;64.91.00;Leasing finanziario;;;;;
1009;64.92.01;Attività dei consorzi di garanzia collettiva fidi;;;;;
1010;64.92.09;Altre attività creditizie nca;;;;;
1011;64.99.10;Attività di intermediazione mobiliare;;;;;
1012;64.99.20;Attività di factoring;;;;;
1013;64.99.30;Attività di merchant bank;;;;;
1014;64.99.40;Attività delle società veicolo;;;;;
1015;64.99.50;Attività di intermediazione in cambi;;;;;
1016;64.99.60;Altre intermediazioni finanziarie nca;;;;;
1017;65;ASSICURAZIONI, RIASSICURAZIONI E FONDI PENSIONE (ESCLUSE LE ASSICURAZIONI SOCIALI OBBLIGATORIE);;;;;
1018;65.11.00;Assicurazioni sulla vita;;;;;
1019;65.12.00;Assicurazioni diverse da quelle sulla vita;;;;;
1020;65.20.00;Attività di riassicurazione;;;;;
1021;65.30.10;Attività dei fondi pensione aperti;;;;;
1022;65.30.20;Attività dei fondi pensione negoziali;;;;;
1023;65.30.30;Attività dei fondi pensione preesistenti;;;;;
1024;66;ATTIVITÀ AUSILIARIE DEI SERVIZI FINANZIARI E DELLE ATTIVITÀ ASSICURATIVE;;;;;
1025;66.11.00;Amministrazione di mercati finanziari;;;;;
1026;66.12.00;Attività di negoziazione di contratti relativi a titoli e merci;;;;;
1027;66.19.10;Attività di gestione ed elaborazione di pagamenti tramite carta di credito;;;;;
1028;66.19.21;Promotori finanziari;;;;;
1029;66.19.22;Agenti, mediatori e procacciatori in prodotti finanziari;;;;;
1030;66.19.30;Attività delle società fiduciarie di amministrazione;;;;;
1031;66.19.40;Attività di Bancoposta;;;;;
1032;66.19.50;Servizi di trasferimento di denaro (money transfer);;;;;
1033;66.21.00;Attività dei periti e liquidatori indipendenti delle assicurazioni;;;;;
1034;66.22.01;Broker di assicurazioni;;;;;
1035;66.22.02;Agenti di assicurazioni;;;;;
1036;66.22.03;Sub-agenti di assicurazioni;;;;;
1037;66.22.04;Produttori, procacciatori ed altri intermediari delle assicurazioni;;;;;
1038;66.29.01;Autorità centrali di vigilanza su assicurazioni e fondi pensione;;;;;
1039;66.29.09;Altre attività ausiliarie delle assicurazioni e dei fondi pensione nca;;;;;
1040;66.30.00;Gestione di fondi comuni di investimento e dei fondi pensione;;;;;
1041;L;ATTIVITA' IMMOBILIARI;;;;;
1042;68;ATTIVITÀ IMMOBILIARI;;;;;
1043;68.10.00;Compravendita di beni immobili effettuata su beni propri;;;;;
1044;68.20.01;Locazione immobiliare di beni propri o in leasing (affitto);;;;;
1045;68.20.02;Affitto di aziende;;;;;
1046;68.31.00;Attività di mediazione immobiliare;;;;;
1047;68.32.00;Amministrazione di condomini e gestione di beni immobili per conto terzi;;;;;
1048;M;ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE;;;;;
1049;69;ATTIVITÀ LEGALI E CONTABILITÀ;;;;;
1050;69.10.10;Attività degli studi legali;;;;;
1051;69.10.20;Attività degli studi notarili;;;;;
1052;69.20.11;Servizi forniti da dottori commercialisti;;;;;
1053;69.20.12;Servizi forniti da ragionieri e periti commerciali;;;;;
