;CODICE;DESCRIZIONE;;;;;
126;11.03.00;Produzione di sidro e di altri vini a base di frutta;;;;;
127;11.04.00;Produzione di altre bevande fermentate non distillate;;;;;
128;11.05.00;Produzione di birra;;;;;
129;11.06.00;Produzione di malto;;;;;
130;11.07.00;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia;;;;;
131;12;INDUSTRIA DEL TABACCO;;;;;
132;12.00.00;Industria del tabacco;;;;;
133;13;INDUSTRIE TESSILI;;;;;
134;13.10.00;Preparazione e filatura di fibre tessili;;;;;
135;13.20.00;Tessitura;;;;;
136;13.30.00;Finissaggio dei tessili, degli articoli di vestiario e attività similari;;;;;
137;13.91.00;Fabbricazione di tessuti a maglia;;;;;
138;13.92.10;Confezionamento di biancheria da letto, da tavola e per l'arredamento;;;;;
139;13.92.20;Fabbricazione di articoli in materie tessili nca;;;;;
140;13.93.00;Fabbricazione di tappeti e moquette;;;;;
141;13.94.00;Fabbricazione di spago, corde, funi e reti;;;;;
142;13.95.00;Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento);;;;;
143;13.96.10;Fabbricazione di nastri, etichette e passamanerie di fibre tessili;;;;;
144;13.96.20;Fabbricazione di altri articoli tessili tecnici ed industriali;;;;;
145;13.99.10;Fabbricazione di ricami;;;;;
146;13.99.20;Fabbricazione di tulle, pizzi e merletti;;;;;
147;13.99.90;Fabbricazione di feltro e articoli tessili diversi;;;;;
148;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";;;;;
149;14.11.00;Confezione di abbigliamento in pelle e similpelle;;;;;
150;14.12.00;Confezione di camici, divise ed altri indumenti da lavoro;;;;;
151;14.13.10;Confezione in serie di abbigliamento esterno;;;;;
152;14.13.20;Sartoria e confezione su misura di abbigliamento esterno;;;;;
153;14.14.00;Confezione di camicie, T-shirt, corsetteria e altra biancheria intima;;;;;
154;14.19.10;Confezioni varie e accessori per l'abbigliamento;;;;;
155;14.19.21;Fabbricazione di calzature realizzate in materiale tessile senza suole applicate;;;;;
156;14.19.29;Confezioni di abbigliamento sportivo o di altri indumenti particolari;;;;;
157;14.20.00;Confezione di articoli in pelliccia;;;;;
158;14.31.00;Fabbricazione di articoli di calzetteria in maglia;;;;;
159;14.39.00;Fabbricazione di pullover, cardigan ed altri articoli simili a maglia;;;;;
160;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI;;;;;
161;15.11.00;"Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce";;;;;
162;15.12.01;Fabbricazione di frustini e scudisci per equitazione;;;;;
163;15.12.09;Fabbricazione di altri articoli da viaggio, borse e simili, pelletteria e selleria;;;;;
164;15.20.10;Fabbricazione di calzature;;;;;
165;15.20.20;Fabbricazione di parti in cuoio per calzature;;;;;
166;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLUSI I MOBILI); FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";;;;;
167;16.10.00;Taglio e piallatura del legno;;;;;
168;16.21.00;Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno;;;;;
169;16.22.00;Fabbricazione di pavimenti in parquet assemblato;;;;;
170;16.23.10;Fabbricazione di porte e finestre in legno (escluse porte blindate);;;;;
171;16.23.20;Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia;;;;;
172;16.24.00;Fabbricazione di imballaggi in legno;;;;;
173;16.29.11;Fabbricazione di parti in legno per calzature;;;;;
174;16.29.12;Fabbricazione di manici di ombrelli, bastoni e simili;;;;;
175;16.29.19;Fabbricazione di altri prodotti vari in legno (esclusi i mobili);;;;;
176;16.29.20;Fabbricazione dei prodotti della lavorazione del sughero;;;;;
177;16.29.30;Fabbricazione di articoli in paglia e materiali da intreccio;;;;;
178;16.29.40;Laboratori di corniciai;;;;;
179;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;;;;;
180;17.11.00;Fabbricazione di pasta-carta;;;;;
181;17.12.00;Fabbricazione di carta e cartone;;;;;
182;17.21.00;Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata);;;;;
183;17.22.00;Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa;;;;;
184;17.23.01;Fabbricazione di prodotti cartotecnici scolastici e commerciali quando l'attività di stampa non è la principale caratteristica;;;;;
185;17.23.09;Fabbricazione di altri prodotti cartotecnici;;;;;
186;17.24.00;Fabbricazione di carta da parati;;;;;
187;17.29.00;Fabbricazione di altri articoli di carta e cartone;;;;;
188;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;;;;;
189;18.11.00;Stampa di giornali;;;;;
190;18.12.00;Altra stampa;;;;;
191;18.13.00;Lavorazioni preliminari alla stampa e ai media;;;;;
192;18.14.00;Legatoria e servizi connessi;;;;;
193;18.20.00;Riproduzione di supporti registrati;;;;;
194;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;;;;;
195;19.10.01;Fabbricazione di pece e coke di pece;;;;;
196;19.10.09;Fabbricazione di altri prodotti di cokeria;;;;;
197;19.20.10;Raffinerie di petrolio;;;;;
198;19.20.20;Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica);;;;;
199;19.20.30;Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento;;;;;
200;19.20.40;Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale;;;;;
201;19.20.90;Fabbricazione di altri prodotti petroliferi raffinati;;;;;
202;20;FABBRICAZIONE DI PRODOTTI CHIMICI;;;;;
203;20.11.00;Fabbricazione di gas industriali;;;;;
204;20.12.00;Fabbricazione di coloranti e pigmenti;;;;;
205;20.13.01;Fabbricazione di uranio e torio arricchito;;;;;
206;20.13.09;Fabbricazione di altri prodotti chimici di base inorganici;;;;;
207;20.14.01;Fabbricazione di alcol etilico da materiali fermentati;;;;;
208;20.14.09;Fabbricazione di altri prodotti chimici di base organici nca;;;;;
209;20.15.00;Fabbricazione di fertilizzanti e composti azotati (esclusa la fabbricazione di compost);;;;;
210;20.16.00;Fabbricazione di materie plastiche in forme primarie;;;;;
211;20.17.00;Fabbricazione di gomma sintetica in forme primarie;;;;;
212;20.20.00;Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i concimi);;;;;
213;20.30.00;Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici);;;;;
214;20.41.10;Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta);;;;;
215;20.41.20;Fabbricazione di specialità chimiche per uso domestico e per manutenzione;;;;;
216;20.42.00;Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili;;;;;
217;20.51.01;Fabbricazione di fiammiferi;;;;;
218;20.51.02;Fabbricazione di articoli esplosivi;;;;;
219;20.52.00;Fabbricazione di colle;;;;;
220;20.53.00;Fabbricazione di oli essenziali;;;;;
221;20.59.10;Fabbricazione di prodotti chimici per uso fotografico;;;;;
222;20.59.20;Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali;;;;;
223;20.59.30;Trattamento chimico degli acidi grassi;;;;;
224;20.59.40;Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo);;;;;
225;20.59.50;Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale;;;;;
226;20.59.60;Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio;;;;;
227;20.59.70;Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici;;;;;
228;20.59.90;Fabbricazione di altri prodotti chimici nca;;;;;
229;20.60.00;Fabbricazione di fibre sintetiche e artificiali;;;;;
230;21;FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE E DI PREPARATI FARMACEUTICI;;;;;
231;21.10.00;Fabbricazione di prodotti farmaceutici di base;;;;;
232;21.20.01;Fabbricazione di sostanze diagnostiche radioattive in vivo;;;;;
233;21.20.09;Fabbricazione di medicinali ed altri preparati farmaceutici;;;;;
234;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;;;;;
235;22.11.10;Fabbricazione di pneumatici e di camere d'aria;;;;;
236;22.11.20;Rigenerazione e ricostruzione di pneumatici;;;;;
237;22.19.01;Fabbricazione di suole di gomma e altre parti in gomma per calzature;;;;;
238;22.19.09;Fabbricazione di altri prodotti in gomma nca;;;;;
239;22.21.00;Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche;;;;;
240;22.22.00;Fabbricazione di imballaggi in materie plastiche;;;;;
241;22.23.01;Fabbricazione di rivestimenti elastici per pavimenti (vinile, linoleum eccetera);;;;;
242;22.23.02;Fabbricazione di porte, finestre, intelaiature eccetera in plastica per l'edilizia;;;;;
243;22.23.09;Fabbricazione di altri articoli in plastica per l'edilizia;;;;;
244;22.29.01;Fabbricazione di parti in plastica per calzature;;;;;
245;22.29.02;Fabbricazione di oggetti per l'ufficio e la scuola in plastica;;;;;
246;22.29.09;Fabbricazione di altri articoli in materie plastiche nca;;;;;
247;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;;;;;
248;23.11.00;Fabbricazione di vetro piano;;;;;
249;23.12.00;Lavorazione e trasformazione del vetro piano;;;;;
250;23.13.00;Fabbricazione di vetro cavo;;;;;
251;23.14.00;Fabbricazione di fibre di vetro;;;;;
252;23.19.10;Fabbricazione di vetrerie per laboratori, per uso igienico, per farmacia;;;;;
253;23.19.20;Lavorazione di vetro a mano e a soffio artistico;;;;;
254;23.19.90;Fabbricazione di altri prodotti in vetro (inclusa la vetreria tecnica);;;;;
255;23.20.00;Fabbricazione di prodotti refrattari;;;;;
256;23.31.00;Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti;;;;;
257;23.32.00;Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta;;;;;
258;23.41.00;Fabbricazione di prodotti in ceramica per usi domestici e ornamentali;;;;;
259;23.42.00;Fabbricazione di articoli sanitari in ceramica;;;;;
260;23.43.00;Fabbricazione di isolatori e di pezzi isolanti in ceramica;;;;;
261;23.44.00;Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale;;;;;
262;23.49.00;Fabbricazione di altri prodotti in ceramica;;;;;
263;23.51.00;Produzione di cemento;;;;;
264;23.52.10;Produzione di calce;;;;;
265;23.52.20;Produzione di gesso;;;;;
266;23.61.00;Fabbricazione di prodotti in calcestruzzo per l'edilizia;;;;;
267;23.62.00;Fabbricazione di prodotti in gesso per l'edilizia;;;;;
268;23.63.00;Produzione di calcestruzzo pronto per l'uso;;;;;
269;23.64.00;Produzione di malta;;;;;
270;23.65.00;Fabbricazione di prodotti in fibrocemento;;;;;
271;23.69.00;Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento;;;;;
272;23.70.10;Segagione e lavorazione delle pietre e del marmo;;;;;
273;23.70.20;Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico;;;;;
274;23.70.30;Frantumazione di pietre e minerali vari non in connessione con l'estrazione;;;;;
275;23.91.00;Produzione di prodotti abrasivi;;;;;
276;23.99.00;Fabbricazione di altri prodotti in minerali non metalliferi nca;;;;;
277;24;METALLURGIA;;;;;
278;24.10.00;Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe;;;;;
279;24.20.10;Fabbricazione di tubi e condotti senza saldatura;;;;;
280;24.20.20;Fabbricazione di tubi e condotti saldati e simili;;;;;
281;24.31.00;Stiratura a freddo di barre;;;;;
282;24.32.00;Laminazione a freddo di nastri;;;;;
283;24.33.01;Fabbricazione di pannelli stratificati in acciaio;;;;;
284;24.33.02;Profilatura mediante formatura o piegatura a freddo;;;;;
285;24.34.00;Trafilatura a freddo;;;;;
286;24.41.00;Produzione di metalli preziosi e semilavorati;;;;;
287;24.42.00;Produzione di alluminio e semilavorati;;;;;
288;24.43.00;Produzione di piombo, zinco e stagno e semilavorati;;;;;
289;24.44.00;Produzione di rame e semilavorati;;;;;
290;24.45.00;Produzione di altri metalli non ferrosi e semilavorati;;;;;
291;24.46.00;Trattamento dei combustibili nucleari (escluso l'arricchimento di uranio e torio);;;;;
292;24.51.00;Fusione di ghisa e produzione di tubi e raccordi in ghisa;;;;;
293;24.52.00;Fusione di acciaio;;;;;
294;24.53.00;Fusione di metalli leggeri;;;;;
295;24.54.00;Fusione di altri metalli non ferrosi;;;;;
296;25;FABBRICAZIONE DI PRODOTTI IN METALLO (ESCLUSI MACCHINARI E ATTREZZATURE);;;;;
297;25.11.00;Fabbricazione di strutture metalliche e parti assemblate di strutture;;;;;
298;25.12.10;Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici;;;;;
299;25.12.20;Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili;;;;;
300;25.21.00;Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale;;;;;
301;25.29.00;Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione;;;;;
302;25.30.00;Fabbricazione di generatori di vapore (esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda);;;;;
303;25.40.00;Fabbricazione di armi e munizioni;;;;;
304;25.50.00;"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri";;;;;
305;25.61.00;Trattamento e rivestimento dei metalli;;;;;
306;25.62.00;Lavori di meccanica generale;;;;;
307;25.71.00;Fabbricazione di articoli di coltelleria, posateria ed armi bianche;;;;;
308;25.72.00;Fabbricazione di serrature e cerniere e ferramenta simili;;;;;
309;25.73.11;Fabbricazione di utensileria ad azionamento manuale;;;;;
310;25.73.12;Fabbricazione di parti intercambiabili per macchine utensili;;;;;
311;25.73.20;Fabbricazione di stampi, portastampi, sagome, forme per macchine;;;;;
312;25.91.00;Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio;;;;;
313;25.92.00;Fabbricazione di imballaggi leggeri in metallo;;;;;
314;25.93.10;Fabbricazione di prodotti fabbricati con fili metallici;;;;;
315;25.93.20;Fabbricazione di molle;;;;;
316;25.93.30;Fabbricazione di catene fucinate senza saldatura e stampate;;;;;
317;25.94.00;Fabbricazione di articoli di bulloneria;;;;;
318;25.99.11;Fabbricazione di caraffe e bottiglie isolate in metallo;;;;;
319;25.99.19;Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e altri accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno;;;;;
320;25.99.20;Fabbricazione di casseforti, forzieri e porte metalliche blindate;;;;;
321;25.99.30;Fabbricazione di oggetti in ferro, in rame ed altri metalli;;;;;
322;25.99.91;Fabbricazione di magneti metallici permanenti;;;;;
323;25.99.99;Fabbricazione di altri articoli metallici e minuteria metallica nca;;;;;
324;26;"FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA; APPARECCHI ELETTROMEDICALI, APPARECCHI DI MISURAZIONE E DI OROLOGI";;;;;
325;26.11.01;Fabbricazione di diodi, transistor e relativi congegni elettronici;;;;;
326;26.11.09;Fabbricazione di altri componenti elettronici;;;;;
327;26.12.00;Fabbricazione di schede elettroniche assemblate;;;;;
328;26.20.00;Fabbricazione di computer e unità periferiche;;;;;
329;26.30.10;Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere);;;;;
330;26.30.21;Fabbricazione di sistemi antifurto e antincendio;;;;;
331;26.30.29;Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni;;;;;
332;26.40.01;Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini;;;;;
333;26.40.02;Fabbricazione di console per videogiochi (esclusi i giochi elettronici);;;;;
334;26.51.10;Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia;;;;;
335;26.51.21;Fabbricazione di rilevatori di fiamma e combustione, di mine, di movimento, generatori d'impulso e metal detector;;;;;
336;26.51.29;Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricità, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori);;;;;
337;26.52.00;Fabbricazione di orologi;;;;;
338;26.60.01;Fabbricazione di apparecchiature di irradiazione per alimenti e latte;;;;;
339;26.60.02;Fabbricazione di apparecchi elettromedicali (incluse parti staccate e accessori);;;;;
340;26.60.09;Fabbricazione di altri strumenti per irradiazione ed altre apparecchiature elettroterapeutiche;;;;;
